Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
159638426,Theory of Constraints,1,"Goldratt, Eliyahu M.",Author,,,"North River Pr (1999), Edition: 1, 160 pages",1999,,,,,Theory of Constraints by Eliyahu M. Goldratt (1999),Paperback,160 p.; 6.25 inches,0.6 pounds,6.25 inches,9 inches,0.5 inches,6.25 x 0.5 x 9 inches,160 ,,,,,,,"thinking, professional reading",Anti-Library,English,English,HF5548 .G647,[0884271668],"[0884271668, 9780884271666]",,658,Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,2018-08-22,,,493677,,,,
159638428,The End of Illness,5,"Agus, David B.",Author,,,"Free Press (2012), Edition: 1, 352 pages",2012,,,,,The End of Illness by David B. Agus (2012),Hardcover,352 p.; 6 inches,1.14 pounds,6 inches,9 inches,1.3 inches,6 x 1.3 x 9 inches,352 ,,,,,,,science,Anti-Library,English,English,RA776 .A38,[1451610173],"[1451610173, 9781451610178]",,613,Medicine and health > Personal health and safety > Technology and Application of Knowledge,,1,amazon.com books,2018-08-22,,,11929876,,,,
162326089,Land of opportunity: one family's quest for the American dream in the age of crack,1,"Adler, William M.",Author,,,"Atlantic Monthly Press (1995), Edition: 1st, 415 pages",1995,,,,,Land of opportunity: one family's quest for the American dream in the age of crack by William M. Adler (1995),Hardcover,415 p.; 6.5 inches,1.6 pounds,6.5 inches,9.5 inches,1.25 inches,6.5 x 1.25 x 9.5 inches,415 ,,,,,,,"crime, ethnography, hoopla","eBooks, Must Read",English,English,HV5805.C48 A65,[9780871135933],"[9780871135933, 0871135930]","Chambers family|Chambers, Billy Joe, 1962-|Drug dealers > United States > Biography",364.1,Crimes and Offenses > Criminology > Social problems and services; associations > Social sciences,,1,amazon.com books,2018-11-11,,,1807381,,,,
165178024,Bellman & Black: A Novel,1,"Setterfield, Diane",Author,,,"Atria/Emily Bestler Books (2013), 337 pages",2013,,,,,Bellman & Black: A Novel by Diane Setterfield (2013),Ebook,,,,,,,337 ,,,,,,,"fiction, libby","eBooks, Recommended By Friends, Anti-Library",English,English,PR6119.E86 B46,[9781476712000],"[9781476712000, 147671200X]",,823.92,2000- > English & Old English literatures > English fiction > Literature > Modern Period,,1,amazon.com books,2019-02-02,,,6575995,,,,
165178048,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,5,"Blum, Deborah",Author,,,"Penguin Books (2011), Edition: Reprint, 336 pages",2011,,,,,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York by Deborah Blum (2011),Paperback,336 p.; 5.46 inches,0.6 pounds,5.46 inches,8.43 inches,0.75 inches,5.46 x 0.75 x 8.43 inches,336 ,,,,,,,"history, hoopla, libby","eBooks, Recommended By Friends, Anti-Library",English,English,HV6555.U62,[9780143118824],"[9780143118824, 014311882X]",,614.130974710904,Medicine and health > Mortality at different ages > Public Health > Registration and vital statistics > Technology and Application of Knowledge,,1,amazon.com books,2019-02-02,,,9247583,,,,
165178068,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,1,"Rosling, Hans",Author,,,"Flatiron Books (2018), 352 pages",2018,,,,,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think by Hans Rosling (2018),Hardcover,352 p.; 5.77 inches,1 pound,5.77 inches,8.46 inches,1.34 inches,5.77 x 1.34 x 8.46 inches,352 ,,,,,,,facts,"Recommended By Friends, Anti-Library","English, French",English,RA785 .R673,[1250107814],"[1250107814, 9781250107817]",,302.12,General topics of social interaction > Social Interaction > Social Sciences > Social sciences > Social understanding,,1,amazon.com books,2019-02-02,,,21086460,,,,
165178112,The Sudden Appearance of Hope,5,"North, Claire",Author,,,"Redhook (2016), 472 pages",2016,,,,,The Sudden Appearance of Hope by Claire North (2016),Ebook,,,,,,,472 ,,,,,,,"fiction, libby","eBooks, Recommended By Friends, Anti-Library",English,English,PR6114.O777 S83,[9780316335973],"[9780316335973, 0316335975]",,823.92,2000- > English & Old English literatures > English fiction > Literature > Modern Period,,1,amazon.com books,2019-02-02,,,16346121,,,,
165298227,On Intelligence: How a New Understanding of the Brain Will Lead to the Creation of Truly Intelligent Machines,1,"Hawkins, Jeff",Author,,,"St. Martin's Griffin (2005), Edition: Reprint, 272 pages",2005,,,,,On Intelligence: How a New Understanding of the Brain Will Lead to the Creation of Truly Intelligent Machines by Jeff Hawkins (2005),Paperback,272 p.; 5.45 inches,0.53 pounds,5.45 inches,8.28 inches,0.77 inches,5.45 x 0.77 x 8.28 inches,272 ,,,,,,,science,"Recommended By Friends, Anti-Library","English, French",English,QP376 .H294,[0805078533],"[0805078533, 9780805078534]",Artificial Intelligence|Artificial intelligence|Brain|Intellect|Neural networks (Computer science)|brain,612.82,Central nervous system > Human physiology > Medicine and health > Nervous system > Technology and Application of Knowledge,,1,amazon.com books,2019-02-05,,,28334,,,,
165298247,Where the Crawdads Sing,1,"Owens, Delia",Author,,,"G.P. Putnam's Sons (2018), Edition: First Edition, First Printing, 384 pages",2018,,,,,Where the Crawdads Sing by Delia Owens (2018),Hardcover,384 p.; 6.26 inches,1.3 pounds,6.26 inches,9.39 inches,1.29 inches,6.26 x 1.29 x 9.39 inches,384 ,,,,,,,fiction,"Recommended By Friends, Anti-Library",English,English,PS3615.W447 W48,[0735219095],"[0735219095, 9780735219090]",,813.6,21st Century > American fiction > English (North America) > Literature,,1,amazon.com books,2019-02-05,,,21599568,,,,
165483746,In Heaven As on Earth: A Vision of the Afterlife,1,"Peck, M. Scott",Author,,,"Hyperion (1998), 240 pages",1998,,,,,In Heaven As on Earth: A Vision of the Afterlife by M. Scott Peck (1998),Paperback,240 p.; 5.13 inches,0.35 pounds,5.13 inches,8 inches,0.65 inches,5.13 x 0.65 x 8 inches,240 ,,,,,,,philosophy,"Recommended By Friends, Anti-Library",English,English,PS3566.E2524 P58,[078688374X],"[078688374X, 9780786883745]",Future life > Fiction|Large Type Books|Large type books|Near-death experiences > Fiction|Religious fiction|Spiritual life > Fiction,813.54,1945-1999 > 20th Century > American fiction > English (North America) > Literature,,1,amazon.com books,2019-02-10,,,262077,,,,
169787580,Storm Front (Dresden Files),1,"Butcher, Jim",Author,,,"Roc (2000), Edition: 1st, 372 pages",2000,,,,,Storm Front (Dresden Files) by Jim Butcher (2000),Paperback,372 p.; 4.25 inches,0.46 pounds,4.25 inches,7.5 inches,0.96 inches,4.25 x 0.96 x 7.5 inches,372 ,,,,,,,fiction,"Recommended By Friends, Anti-Library",English,English,PS3552.U8242,[0451457811],"[0451457811, 9780451457813]","Dresden, Harry (Fictitious character) > Fiction|Dresden, Harry (Fictitious characters) > Fiction|Fantasy fiction|Mystery fiction|Wizards > Fiction|fantasy fiction",813.6,21st Century > American fiction > English (North America) > Literature,,1,amazon.com books,2019-06-14,,,26647,,,,
169787595,Broken Harbor: A Novel (Dublin Murder Squad),1,"French, Tana",Author,,,"Penguin Books (2013), Edition: Reprint, 450 pages",2013,,,,,Broken Harbor: A Novel (Dublin Murder Squad) by Tana French (2013),Paperback,450 p.; 5.46 inches,0.79 pounds,5.46 inches,8.34 inches,0.96 inches,5.46 x 0.96 x 8.34 inches,450 ,,,,,,,fiction,"Recommended By Friends, Anti-Library",English,English,PR6106.R457 B76,[0143123300],"[0143123300, 9780143123309]",,823.92,2000- > English & Old English literatures > English fiction > Literature > Modern Period,,1,amazon.com books,2019-06-14,,,11366844,,,,
169981627,"The Dark Side of the Road: Ishmael Jones Mystery Series, Book 1",5,"Green, Simon R.",Author,,,Tantor Audio (2018),2018,,,,,"The Dark Side of the Road: Ishmael Jones Mystery Series, Book 1 by Simon R. Green (2018)",Digital audiobook,,,,,,,,,,,,,,fiction,"Recommended By Friends, Anti-Library",English,English,PR6107.R44,,,,823.92,2000- > English & Old English literatures > English fiction > Literature > Modern Period,,1,amazon.com books,2019-06-19,,,15636584,,,,
170032479,An Absolutely Remarkable Thing: A Novel,4,"Green, Hank",Author,,,"Dutton (2018), Edition: 1st Edition, 352 pages",2018,,3,,,An Absolutely Remarkable Thing: A Novel by Hank Green (2018),Hardcover,352 p.; 6.26 inches,1.2 pounds,6.26 inches,9.31 inches,1.15 inches,6.26 x 1.15 x 9.31 inches,352 ,,,2020-01-10,2020-01-13,,,fiction,"Read but unowned, Recommended By Friends",English,English,PS3607.R43285 A27,[1524743445],"[1524743445, 9781524743444]",,813.6,21st Century > American fiction > English (North America) > Literature,,1,amazon.com books,2019-06-20,,,20576228,,,,
170088201,Einstein's Dreams,1,"Lightman, Alan",Author,,,"Vintage (2004), Edition: 1, 144 pages",2004,,,,,Einstein's Dreams by Alan Lightman (2004),Paperback,144 p.; 5.2 inches,0.25 pounds,5.2 inches,7.99 inches,0.38 inches,5.2 x 0.38 x 7.99 inches,144 ,,,,,,,"science, fiction",Anti-Library,English,English,PS3562.I3854,[9781400077809],"[9781400077809, 140007780X]","Biographical fiction|Dreams > Fiction|Einstein, Albert, 1879-1955 > Fiction|Physicists > Fiction|Psychological fiction|Time > Fiction|biographical fiction",813.54,1945-1999 > 20th Century > American fiction > English (North America) > Literature,,1,amazon.com books,2019-06-22,,,2195,,,,
191687150,You Want Fries With That: A White-Collar Burnout Experiences Life at Minimum Wage,1,"Alexander, Prioleau",Author,,,"Arcade (2011), Edition: Reprint, 266 pages",2011,,,,,You Want Fries With That: A White-Collar Burnout Experiences Life at Minimum Wage by Prioleau Alexander (2011),Ebook,264  p.,,,,,,264  ,,,,,,,"bio, personal_stories, hoopla","eBooks, Anti-Library",English,English,HD4918.A54,,,,305.5,Class > Groups of people > Social Sciences > Social sciences,,1,amazon.com books,2020-10-31,,,5024920,,,,
191687151,"The Wire and Philosophy: This America, Man (Popular Culture and Philosophy Book 73)",5,"Bzdak, David",Editor,"Vannatta, Seth|Crosby, Joanna",Editor|Editor,"Open Court (2013), 330 pages",2013,,,,,"The Wire and Philosophy: This America, Man (Popular Culture and Philosophy Book 73) by David Bzdak (2013)",Ebook,330  p.,,,,,,330  ,,,,,,,philosophy,Anti-Library,English,English,PN1992.W53 W525,[0812698282],"[0812698282, 9780812698282]",,794.45,Go > Indoor games of skill; board games > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,14307934,,,,
191687153,An American Summer: Love and Death in Chicago,4,"Kotlowitz, Alex",Author,,,"Nan A. Talese (2019), Edition: First Edition, 304 pages",2019,,,,,An American Summer: Love and Death in Chicago by Alex Kotlowitz (2019),Hardcover,304  p.; 9.56 inches,1.35 pounds,9.56 inches,1.07 inches,6.6 inches,9.56 x 6.6 x 1.07 inches,304  ,,,,,,,"culture, ethnography, libby","eBooks, Anti-Library",English,English,HQ799.V56 K68,[0385538804],"[0385538804, 9780385538800]",,364.150835,Crimes and Offenses > Criminology > Offenses against persons > Social problems and services; associations > Social sciences,,1,amazon.com books,2020-10-31,,,22169988,,,,
191687154,The Transfer Market: The Inside Stories,5,"Gernon, Alan",Author,,,"Pitch Publishing (2019), Edition: None, 224 pages",2019,,,,,The Transfer Market: The Inside Stories by Alan Gernon (2019),Paperback,224  p.,,,,,,224  ,,,,,,,sports,Anti-Library,English,English,,[1785314521],"[1785314521, 9781785314520]",,796.334069,Athletic and outdoor sports and games > Ball sports > Football > Inflated ball driven by the foot > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,23346475,,,,
191687155,Tales from the Tables: A Wicked Funny Look from the Waiter's Side of the Tables,1,"Tracey, D. L.",Author,,,"AuthorHouse (2014), 110 pages",2014,,,,,Tales from the Tables: A Wicked Funny Look from the Waiter's Side of the Tables by D. L. Tracey (2014),Hardcover,110  p.,,,,,,110  ,,,,,,,"bio, personal_stories, hoopla, food","eBooks, Anti-Library",English,English,,[1491855673],"[1491855673, 9781491855676]",,,,,1,amazon.com books,2020-10-31,,,23987967,,,,
191687156,Out of the Blue: The Kansas City Royals' Historic 2014 Season,1,"Fulks, Matt",Author,,,"Triumph Books (2014), Edition: Special, Commemorative, 128 pages",2014,,,,,Out of the Blue: The Kansas City Royals' Historic 2014 Season by Matt Fulks (2014),Paperback,128  p.,,,,,,128  ,,,,,,,"baseball, hoopla","eBooks, Must Read",English,English,GV863.A1 .F855,[1629371181],"[1629371181, 9781629371184]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,16570471,,,,
191687157,Taking the Crown: The Kansas City Royals' Amazing 2015 Season,1,"Fulks, Matt",Author,"Moore, Dayton",Foreword,"Triumph Books (2015), Edition: Special, Commemorative, 128 pages",2015,,,,,Taking the Crown: The Kansas City Royals' Amazing 2015 Season by Matt Fulks (2015),Paperback,128  p.,,,,,,128  ,,,,,,,"baseball, hoopla","eBooks, Must Read",English,English,GV875.K3 F85,[1629370819],"[1629370819, 9781629370811]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,16790309,,,,
191687159,Playing with FIRE (Financial Independence Retire Early): How Far Would You Go for Financial Freedom?,1,"Rieckens, Scott",Author,"Mustache, Mr. Money",Foreword,"New World Library (2019), 224 pages",2019,,,,,Playing with FIRE (Financial Independence Retire Early): How Far Would You Go for Financial Freedom? by Scott Rieckens (2019),Paperback,224  p.; 8.3 inches,0.45 pounds,8.3 inches,0.6 inches,5.6 inches,8.3 x 5.6 x 0.6 inches,224  ,,,,,,,fire,Anti-Library,English,English,HD7110.R543,[1608685802],"[1608685802, 9781608685806]",,332.024,Economics > Finance > Miscellany And Personal Finance > Personal Finance > Social sciences,,1,amazon.com books,2020-10-31,,,22700201,,,,
191687161,Davey Johnson: My Wild Ride in Baseball and Beyond,1,"Johnson, Davey",Author,"Sherman, Erik",Author,"Triumph Books (2018), 400 pages",2018,,,,,Davey Johnson: My Wild Ride in Baseball and Beyond by Davey Johnson (2018),Hardcover,400  p.; 9 inches,1.65 pounds,9 inches,1.5 inches,6 inches,9 x 6 x 1.5 inches,400  ,,,,,,,"baseball, hoopla","eBooks, Anti-Library",English,English,GV865.J594 A3,[1629374113],"[1629374113, 9781629374116]",,796.357092,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Biography > Biography And History > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,21804851,,,,
191687162,How Fantasy Sports Explains the World: What Pujols and Peyton Can Teach Us About Wookiees and Wall Street,1,"Mass, AJ",Author,"Berry, Matthew",Foreword,"Skyhorse (2011), 256 pages",2011,,,,,How Fantasy Sports Explains the World: What Pujols and Peyton Can Teach Us About Wookiees and Wall Street by AJ Mass (2011),Hardcover,256  p.,,,,,,256  ,,,,,,,baseball,Anti-Library,English,English,GV1202.F35 .M384,[161608295X],"[161608295X, 9781616082956]",,796,Athletic and outdoor sports and games > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,11989934,,,,
191687163,Can't Anybody Here Play This Game?: The Improbable Saga of the New York Met's First Year,1,"Breslin, Jimmy",Author,"Veeck, Bill",Author,"Ivan R. Dee (2002), Edition: Reprint, 126 pages",2002,,,,,Can't Anybody Here Play This Game?: The Improbable Saga of the New York Met's First Year by Jimmy Breslin (2002),Paperback,126  p.; 8.01 inches,0.37919509064 pounds,8.01 inches,0.41 inches,5.54 inches,8.01 x 5.54 x 0.41 inches,126  ,,,,,,,baseball,Anti-Library,English,English,GV875.N45 B73,[1566634881],"[1566634881, 9781566634885]",New York Mets (Baseball team),796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,319577,,,,
191687164,Core Four: The Heart and Soul of the Yankees Dynasty,1,"Pepe, Phil",Author,"Cone, David",Foreword,"Triumph Books (2014), Edition: 2014, 272 pages",2014,,,,,Core Four: The Heart and Soul of the Yankees Dynasty by Phil Pepe (2014),Paperback,272  p.; 9 inches,0.8598028218 pounds,9 inches,0.8 inches,6 inches,9 x 6 x 0.8 inches,272  ,,,,,,,baseball,Anti-Library,English,English,GV875.N4 P525,[1600789625],"[1600789625, 9781600789625]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,13918104,,,,
191687165,The Shift: The Next Evolution in Baseball Thinking,5,"Carleton, Russell A.",Author,"Passan, Jeff",Foreword,"Triumph Books (2018), 368 pages",2018,,,,,The Shift: The Next Evolution in Baseball Thinking by Russell A. Carleton (2018),Paperback,368  p.; 8.5 inches,1 pound,8.5 inches,1.2 inches,5.5 inches,8.5 x 5.5 x 1.2 inches,368  ,,,,,,,"baseball, hoopla","eBooks, Anti-Library",English,English,GV877 .C37,[1629375446],"[1629375446, 9781629375441]",,796.357021,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Miscellany > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,21687381,,,,
191687166,"Smart Baseball: The Story Behind the Old Stats That Are Ruining the Game, the New Ones That Are Running It, and the Right Way to Think About Baseball",1,"Law, Keith",Author,,,"William Morrow Paperbacks (2018), Edition: Reprint, 320 pages",2018,,,,,"Smart Baseball: The Story Behind the Old Stats That Are Ruining the Game, the New Ones That Are Running It, and the Right Way to Think About Baseball by Keith Law (2018)",Paperback,320  p.; 8 inches,0.5 pounds,8 inches,0.720721 inches,5.3125 inches,8 x 5.3125 x 0.720721 inches,320  ,,,,,,,"baseball, hoopla, libby","eBooks, Anti-Library",English,English,GV877 .L285,[0062490230],"[0062490230, 9780062490230]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,19264445,,,,
191687167,Turn the Ship Around ! A True Story of Turning Followers Into Leaders,1,"Marquet, L. David",Author,"Covey, Stephen R.",Foreword,"Portfolio (2013), 272 pages",2013,,,,,Turn the Ship Around ! A True Story of Turning Followers Into Leaders by L. David Marquet (2013),Hardcover,272  p.; 8.5 inches,0.881849048 pounds,8.5 inches,1 inch,5.7 inches,8.5 x 5.7 x 1 inches,272  ,,,,,,,selfhelp,Anti-Library,English,English,HD57 .M39245,[1591846404],"[1591846404, 9781591846406]",,658.4,Executive > Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,2020-10-31,,,12926027,,,,
191687168,Baseball Maverick: How Sandy Alderson Revolutionized Baseball and Revived the Mets,1,"Kettmann, Steve",Author,,,"Atlantic Monthly Press (2015), 320 pages",2015,,,,,Baseball Maverick: How Sandy Alderson Revolutionized Baseball and Revived the Mets by Steve Kettmann (2015),Hardcover,320  p.,,,,,,320  ,,,,,,,"baseball, hoopla","eBooks, Anti-Library",English,English,GV865.A32 K48,[0802119980],"[0802119980, 9780802119988]",,796.357092,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Biography > Biography And History > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,15828746,,,,
191687169,Bad Jobs and Poor Decisions: Dispatches from the Working Class,1,"Helton, J. R.",Author,,,"Liveright (2018), Edition: 1, 272 pages",2018,,,,,Bad Jobs and Poor Decisions: Dispatches from the Working Class by J. R. Helton (2018),Hardcover,272  p.,,,,,,272  ,,,,,,,politics,Anti-Library,English,English,CT275.H5667 A3,[163149287X],"[163149287X, 9781631492877]",,305.38,Groups of people > People by gender or sex > Social Sciences > Social sciences > Specific groups of men,,1,amazon.com books,2020-10-31,,,20894064,,,,
191687170,Ahead of the Curve: Inside the Baseball Revolution,1,"Kenny, Brian",Author,,,"Simon & Schuster (2017), Edition: Reprint, 368 pages",2017,,,,,Ahead of the Curve: Inside the Baseball Revolution by Brian Kenny (2017),Paperback,368  p.; 8.38 inches,0.7 pounds,8.375 inches,0.8 inches,5.5 inches,8.375 x 5.5 x 0.8 inches,368  ,,,,,,,"baseball, hoopla","eBooks, Anti-Library",English,English,GV867.3 .K46,[150110635X],"[150110635X, 9781501106354]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,17708511,,,,
191687172,Chumps to Champs: How the Worst Teams in Yankees History Led to the '90s Dynasty,1,"Pennington, Bill",Author,,,"Houghton Mifflin Harcourt (2019), Edition: Illustrated, 368 pages",2019,,,,,Chumps to Champs: How the Worst Teams in Yankees History Led to the '90s Dynasty by Bill Pennington (2019),Hardcover,368  p.; 9 inches,1.25 pounds,9 inches,1.184 inches,6 inches,9 x 6 x 1.184 inches,368  ,,,,,,,baseball,Anti-Library,English,English,GV875.N4 .P466,[1328849856],"[1328849856, 9781328849854]",,796.357,Athletic and outdoor sports and games > Ball and stick sports > Ball sports > Baseball > Recreational and performing arts > The arts,,1,amazon.com books,2020-10-31,,,23237600,,,,
191687173,Mansa Musa and Timbuktu: The History of the West African Emperor and Medieval Africa’s Most Fabled City,1,Charles River Editors,Author,,,"Independently published (2019), 46 pages",2019,,,,,Mansa Musa and Timbuktu: The History of the West African Emperor and Medieval Africa’s Most Fabled City by Charles River Editors (2019),Paperback,46  p.; 11 inches,0.303 pounds,11 inches,0.11 inches,8.5 inches,11 x 8.5 x 0.11 inches,46  ,,,,,,,history,Anti-Library,English,English,,[1098705815],"[1098705815, 9781098705817]",,,,,1,amazon.com books,2020-10-31,,,23424295,,,,
