Rank,Logo,Tm,Pos,Name,Other sources
82,,MIN,SP,Bailey Ober,
83,,CHC,SP,Shota Imanaga,Laghezza boost
84,,ATL,SP,Spencer Schwellenbach,Laghezza boost
85,,CLE,SP,Tanner Bibee,Laghezza boost
86,,HOU,SP,Hunter Brown,
87,,SEA,SP,Luis Castillo,
88,,LAD,SP,Tyler Glasnow,
89,,MIN,SP,Joe Ryan,
90,,LAD,SP,Roki Sasaki,
91,,PHI,SP,Aaron Nola,
92,,MIL,SP,Freddy Peralta,
93,,CIN,SP,Hunter Greene,
94,,NYY,SP,Max Fried,
95,,SF,SP,Logan Webb,
96,,LAD,SP,Jack Flaherty,Laghezza boost
97,,NYY,SP,Carlos Rodón,
98,,AZ,SP,Zac Gallen,
99,,PIT,SP,Jared Jones,Laghezza boost
100,,CHC,SP,Justin Steele,
101,,ATL,SP,Spencer Strider,
102,,MIA,SP,Sandy Alcantara,
103,,LAA,SP,Yusei Kikuchi,
104,,NYM,SP,Kodai Senga ,
105,,TBR,SP,Shane McClanahan,
106,,STL,SP,Sonny Gray,
,TIER 2 CATCHERS: SHOT AT +550 PAs,,,,
107,,STL,C,Willson Contreras,
108,,SEA,C,Cal Raleigh,Laghezza fade
,TIER 3 RP: SOLID ROLE + SKILLS CLOSERS,,,,
109,,LAD,RP,Tanner Scott,
110,,SFG,RP,Ryan Walker,
111,,MIL,RP,Trevor Megill,
112,,PIT,RP,David Bednar,
113,,TBR,RP,Pete Fairbanks ,
114,,BAL,RP,Félix Bautista,
115,,PHI,RP,Jordan Romano,
,TIER 4 BATS: EVERYDAY 4-5 CAT BATS,,,,
116,,DET,OF,Riley Greene,
117,,TOR,OF,Anthony Santander,
118,,NYY,1B/OF,Cody Bellinger,
119,,CIN,2B/SS,Matt McLain,
120,,WSH,2B,Luis Garci­a Jr.,Laghezza boost
121,,BAL,3B,Jordan Westburg,
122,,SEA,OF,Randy Arozarena,
123,,WSH,OF,Dylan Crews,
124,,CLE,1B,Josh Naylor,
125,,MIA,1B/3B,Jake Burger,Laghezza boost
126,,SF,3B,Matt Chapman,
127,,COL,SS,Ezequiel Tovar,Laghezza fade
128,,CHC,OF,Ian Happ,
129,,MIN,3B,Royce Lewis,
130,,NYY,SS,Anthony Volpe,
131,,MIL,OF,Christian Yelich,
132,,BOS,1B,Triston Casas,Laghezza fade
133,,KC,1B,Vinnie Pasquantino,
134,,TOR,SS,Bo Bichette,
135,,STL,SS,Masyn Winn,Laghezza boost
136,,MIL,2B,Brice Turang,Laghezza fade
137,,TEX,2B,Marcus Semien,
, TIER 3 CATCHERS: 2-C LEAGUE MUST HAVE +1 BY NOW,,,,
138,,LAD,C,Will Smith ,
139,,LAA,C,Logan O'Hoppe,Laghezza boost
140,,PHI,C,J.T. Realmuto,
141,,OAK,C,Shea Langeliers,
,TIER 4 RP: STILL GOOD CLOSERS,,,,
142,,TEX,RP,Chris Martin,
143,,CHC,RP,Ryan Pressly,
144,,CIN,RP,Alexis Díaz,
145,,LAA,RP,Kenley Jansen,
,TIER 4 SP: SOLID MID-ROTATION GUYS,,,,
146,,CLE,SP,Gavin Williams,Laghezza boost
147,,ATL,SP,Reynaldo Lopez,
148,,SF,SP,Robbie Ray,
149,,SD,SP,Nick Pivetta,Laghezza boost
150,,NYM,SP,Clay Holmes,
151,,PHI,SP,Jesus Luzardo,Laghezza boost
152,,BAL,SP,Zach Eflin,Laghezza boost
153,,TB,SP,Ryan Pepiot,
154,,SEA,SP,Bryan Woo,
155,,TB,SP,Shane Baz,
156,,TEX,SP,Nathan Eovaldi,
157,,AZ,SP,Brandon Pfaadt,
158,,WSH,SP,MacKenzie Gore,
159,,KC,SP,Seth Lugo,
160,,HOU,SP,Spencer Arrighetti,Laghezza boost
161,,TB,SP,Taj Bradley,
162,,PHI,SP,Cristopher Sánchez,Laghezza boost
,TIER 4-A SP: INJURED ACES,,,,
163,,SEA,SP,George Kirby 🚑,
164,,BAL,SP,Grayson Rodriguez 🚑,
,TIER 5 BATS: EVERYDAY BATS w/POTENTIAL,,,,
165,,TEX,OF,Adolis García 🚑,
166,,LAA,OF,Mike Trout,
167,,AZ,3B,Eugenio Suárez,Laghezza boost
168,,MIA,SS,Xavier Edwards,
169,,PHI,OF,Nick Castellanos,
170,,BAL,OF,Colton Cowser,Laghezza boost
171,,LAA,OF,Taylor Ward,
172,,SF,OF,Heliot Ramos ,
173,,TB,OF,Josh Lowe,Sheehan
174,,SD,2B,Xander Bogaerts,Laghezza fade
175,,HOU,3B,Isaac Paredes,
176,,BOS,3B,Alex Bregman,
177,,HOU,1B,Christian Walker 🚑,Laghezza fade
178,,COL,1B,Michael Toglia,
179,,NYY,1B,Paul Goldschmidt,
180,,LAA,OF,Jorge Soler,Laghezza boost
181,,SEA,OF,Victor Robles,
182,,CLE,OF,Steven Kwan,Laghezza fade
183,,CHC,SS,Dansby Swanson,
184,,CLE,OF,Lane Thomas,
185,,BAL,OF,Tyler O'Neill,Laghezza fade
186,,CHC,OF,Pete Crow-Armstrong,Laghezza fade
,TIER 5 RP:  OPENING DAY SAVES... FOR NOW,,,,
187,,WSN,RP,Kyle Finnegan,
188,,AZ,RP,Justin Martinez,
189,,KCR,RP,Carlos Estévez,
190,,BOS,RP,Liam Hendriks,
191,,DET,RP,Jason Foley,
,TIER 5 SP: UPSIDE STARTERS,,,,
192,,BOS,SP,Walker Buehler,Laghezza boost
193,,TOR,SP,Max Scherzer,Laghezza boost
194,,CIN,SP,Nick Lodolo,
195,,TOR,SP,Bowden Francis,Laghezza boost
196,,DET,SP,Reese Olson,Laghezza boost
197,,HOU,SP,Ronel Blanco,
198,,BOS,SP,Tanner Houck,
199,,SD,SP,Yu Darvish,
200,,TOR,SP,Kevin Gausman,
201,,OAK,SP,Jeffrey Springs,
202,,NYY,SP,Clarke Schmidt,
,TIER 6 BATS: EVERYDAY BATS w/POTENTIAL II,,,,
203,,CIN,1B,Christian Encarnacion-Strand,Laghezza boost
204,,CHC,3B,Matt Shaw,
205,,TEX,3B,Josh Jung,
206,,DET,OF,Kerry Carpenter,
207,,SF,SS,Tyler Fitzgerald,
208,,HOU,SS,Jeremy Peña,Laghezza boost
209,,STL,2B/OF,Brendan Donovan,
210,,KC,2B/3B,Maikel Garcia,
211,,NYM,OF,Brandon Nimmo,
212,,TOR,2B,Andrés Giménez,
213,,NYY,2B,Gleyber Torres,Laghezza boost
214,,KC,2B,Jonathan India,
215,,MIA,OF,Jesús Sánchez,
216,,BOS,SS/OF,Ceddanne Rafaela,Laghezza fade
217,,TOR,OF,George Springer,
218,,BOS,SS,Trevor Story,
219,,MIN,SS/OF,Willi Castro,
220,,MIN,SS,Carlos Correa,
221,,LAA,SS,Zach Neto,
222,,BAL,OF,Cedric Mullins,
223,,AZ,OF,Jake McCarthy,
224,,LAD,OF,Tommy Edman,
225,,SD,1B/2B,Luis Arraez,Laghezza fade
226,,PHI,3B,Alec Bohm,Laghezza fade
,TIER 6 SP: BACKEND STARTERS,,,,
227,,ATL,SP,Grant Holmes,Laghezza boost
228,,MIA,SP,Ryan Weathers,Laghezza boost
229,,DET,SP,Jackson Jobe,
230,,CHC,SP,Matthew Boyd,Laghezza boost
231,,PHI,SP,Ranger Suárez,
232,,TOR,SP,José Berri­os,
233,,CHC,SP,Jameson Taillon,
234,,OAK,SP,Luis Severino,
235,,SF,SP,Justin Verlander,
236,,PIT,SP,Mitch Keller,
237,,NYM,SP,David Peterson,Laghezza boost
238,,NYY,SP ,Will Warren,
239,,MIL,SP,Nestor Cortes 🚑,
240,,TB,SP,Drew Rasmussen,
241,,DET,SP,Kenta Maeda,
242,,CIN,SP,Nick Martinez,
243,,AZ,SP,Merrill Kelly,
244,,CIN,SP,Brady Singer,
245,,CWS,SP,Sean Burke,
246,,TEX,SP,Cody Bradford 🚑,
,TIER 6 RP: LAST CHANCE OPENING DAY SAVES?,,,,
247,,MIA,RP,Calvin Faucher,
248,,COL,RP,Seth Halvorsen,
249,,CWS,RP,Mike Clevinger,
250,,LAD,RP,Kirby Yates,
, TIER 4 CATCHERS: LAST CHANCE STARTING BACKSTOPS,,,,
251,,ATL,C,Drake Baldwin,
252,,BOS,C,Connor Wong,Laghezza boost
253,,NYY,C,Austin Wells,
254,,AZ,C,Gabriel Moreno,
255,,MIN,C,Ryan Jeffers,
256,,WSH,C,Keibert Ruiz,
257,,STL,C,Iván Herrera,
258,,TOR,C,Alejandro Kirk,
259,,PIT,C,Joey Bart,
,TIER 7 BATS: EVERYDAY BATS w/WARTS + PLATOONS,,,,
260,,MIA,3B,Connor Norby,Laghezza boost
261,,DET,2B,Colt Keith,
262,,MIN,OF,Matt Wallner,
263,,TEX,OF,Evan Carter,
264,,TB,2B,Brandon Lowe,
265,,CIN,OF,TJ Friedl,Laghezza boost
266,,COL,OF,Nolan Jones,
267,,PHI,2B,Bryson Stott,
268,,TB,1B,Yandy Díaz,
269,,OAK,2B,Zack Gelof,Laghezza fade
270,,AZ,OF,Lourdes Gurriel Jr.,
271,,LAA,3B,Luis Rengifo,
272,,CHC,2B,Nico Hoerner,
273,,SF,OF,Jung Hoo Lee,
274,,BAL,1B,Ryan Mountcastle,
275,,LAD,3B,Max Muncy,
276,,STL,3B,Nolan Arenado,Laghezza fade
277,,CHC,1B,Michael Busch,
278,,BAL,2B,Jackson Holliday,
279,,TB,2B/3B,Christopher Morel,
280,,OAK,OF,JJ Bleday,
281,,LAA,OF,Jo Adell,"Sheehan, Laghezza boost"
282,,CWS,1B,Andrew Vaughn,
283,,COL,2B,Thairo Estrada,Laghezza boost
284,,BOS,OF,Wilyer Abreu 🚑,
285,,MIL,1B,Rhys Hoskins,
286,,STL,OF,Alec Burleson,
287,,TEX,1B,Nathaniel Lowe,
288,,MIN,OF,Byron Buxton,
289,,MIL,OF,Garrett Mitchell,
290,,SEA,1B/OF,Luke Raley,
291,,OAK,1B,Tyler Soderstrom,The Athletic
292,,COL,3B,Ryan McMahon,
293,,MIL,3B,Joey Ortiz,
294,,LAD,OF,Michael Conforto,
295,,STL,OF,Jordan Walker 🚑,
296,,DET,OF,Parker Meadows 🚑 ,
,"TIER 7-A BATS: INJURED RIGHT NOW, OFF DRAFT LIST",,,,
297,,CIN,C,Tyler Stephenson 🚑,
298,,ATL,OF,Jurickson Profar 🚑,
299,,CIN,1B/OF,Spencer Steer 🚑,
300,,NYM,C,Francisco Alvarez 🚑,
,"TIER 7 SP: LOW RISK, HIGH REWARD",,,,
301,,TEX,SP,Kumar Rocker,
302,,KC,SP,Kris Bubic,
303,,WSH,SP,DJ Herz,
304,,HOU,SP,Hayden Wesneski,
305,,MIA,SP,Max Meyer,
306,,TEX,SP,Jon Gray,
307,,MIL,SP,Tobias Myers,
308,,LAA,SP,Reid Detmers,
309,,SF,SP,Kyle Harrison,
310,,LAA,SP,José Soriano,
311,,MIA,SP,Edward Cabrera,
312,,CLE,SP,Luis L. Ortiz,
313,,KC,SP,Michael Wacha,
314,,BAL,SP,Tomoyuki Sugano,
315,,MIL,SP,Aaron Civale,
316,,TOR,SP,Chris Bassitt,
317,,BAL,SP,Charlie Morton,
318,,BOS,SP,Quinn Priester,
319,,CLE,SP,Triston McKenzie,
320,,BOS,SP,Brayan Bello 🚑,
, TIER 5 CATCHERS: LAST CHANCE AT STARTING BACKSTOPS,,,,
321,,BOS,C,Danny Jansen,
322,,SF,C,Patrick Bailey,Sheehan
323,,COL,C/OF,Hunter Goodman,
324,,CLE,C,Bo Naylor,
325,,TEX,C,Jonah Heim,
326,,CHC,C,Miguel Amaya,
,ROOKIE STASHBOX,,,,
327,,HOU,3B,Cam Smith,
328,,BOS,2B,Kristian Campbell,
329,,BOS,OF,Roman Anthony,
330,,MIN,SP,David Festa,
331,,PIT,2B,Nick Yorke,
332,,MIA,C,Agustin Ramirez,
333,,PIT,SP,Bubba Chandler,
334,,NYM,SP,Brandon Sproat,
335,,NYM,SS,Luisangel Acuña,
336,,TB,OF,Chandler Simpson,
337,,CWS,SS,Colson Montgomery,
338,,STL,2B,Thomas Saggese,
339,,MIA,1B,Deyvison De Los Santos,
340,,STL,SP,Michael McGreevy,
341,,CWS,SS,Chase Meidroth,
342,,MIN,SP,Zebby Matthews,
343,,STL,SP,Quinn Mathews,
344,,LAA,SP,Caden Dana,
345,,NYY,OF,Spencer Jones,
346,,BAL,3B,Coby Mayo,
347,,HOU,1B,Zach Dezenzo,
348,,CLE,2B,Juan Brito,
349,,STL,1B,Luken Baker,
350,,AZ,SS,Jordan Lawler 🚑,
,TIER 7A SP : INJURED TO START YEAR - OFF LIST,,,,
351,,BOS,SP,Lucas Giolito 🚑,
352,,BOS,SP,Kutter Crawford 🚑,
353,,CIN,SP,Andrew Abbott 🚑,
354,,MIL,SP,Aaron Ashby 🚑,
355,,NYY,SP,Luis Gil 🚑,
356,,NYM,SP,Sean Manaea 🚑,
357,,MIL,SP,DL Hall 🚑,
,TIER 8 BATS: GETTING DESPERATE FOR QUALITY PAs,,,,
358,,TOR,OF,Daulton Varsho,
359,,WSH,OF,Jacob Young,
360,,SD,1B/2B,Jake Cronenworth,
361,,CIN,1B/3B,Jeimer Candelario,
362,,PIT,OF,Tommy Pham,
363,,PHI,OF,Brandon Marsh,
364,,LAA,1B,Nolan Schanuel,
365,,TB,1B,Jonathan Aranda,
366,,MIN,OF,Trevor Larnach,
367,,BAL,1B/OF,Ryan O'Hearn,
368,,TEX,DH,Joc Pederson,
369,,KC,OF,MJ Melendez,Sheehan
370,,HOU,OF,Chas McCormick,
371,,WSH,1B,Josh Bell,
372,,SF,1B,LaMonte Wade Jr.,
373,,CLE,1B,Carlos Santana,
374,,OAK,SS,Jacob Wilson,
375,,TB,SS,Ha-Seong Kim,
376,,AZ,SS,Geraldo Perdomo,
377,,MIL,OF,Sal Frelick,
378,,COL,OF,Jordan Beck,
379,,PIT,3B,Ke'Bryan Hayes,
380,,HOU,2B,Brendan Rodgers,
381,,MIN,SS,Brooks Lee,
382,,TOR,3B,Ernie Clement,
383,,DET,OF,Wenceel Pérez,
384,,MIA,1B,Jonah Bride,
385,,PIT,1B,Spencer Horwitz 🚑,
,TIER 7 RP: NEXT MEN UP FOR SAVES - RP1 UPSIDE,,,,
386,,KCR,RP,Lucas Erceg,
387,,PHI,RP,Orion Kerkering,
388,,WSN,RP,Jorge López,
389,,LAA,RP,Ben Joyce,
390,,AZ,RP,A.J. Puk,
391,,CHC,RP,Porter Hodge,
392,,BOS,RP,Aroldis Chapman,
393,,MIN,RP,Griffin Jax,
394,,CLE,RP,Paul Sewald,
395,,NYY,RP,Luke Weaver,
396,,TBR,RP,Edwin Uceta,
,TIER 8 SP: LAST CHANCE OPENING DAY ROTATIONS,,,,
397,,AZ,SP,Eduardo Rodriguez,
398,,WSH,SP,Mitchell Parker,
399,,MIN,SP,Simeon Woods Richardson,
400,,TEX,SP,Tyler Mahle,
401,,OAK,SP,Osvaldo Bido,
402,,TB,SP,Zack Littell,
403,,STL,SP,Andre Pallante,
404,,STL,SP,Erick Fedde,
405,,MIN,SP,Chris Paddack,
406,,NYM,SP,Paul Blackburn,
407,,OAK,SP,JP Sears,
408,,BAL,SP,Dean Kremer,
409,,WSH,SP,Trevor Williams,
410,,CLE,SP,Ben Lively,
411,,LAA,SP,Tyler Anderson,
412,,MIA,SP,Valente Bellozo,
413,,WSH,SP,Jake Irvin,
414,,MIL,SP ,Jose Quintana,
415,,CWS,SP,Jonathan Cannon,
416,,PIT,SP,Bailey Falter,
417,,LAA,SP,Kyle Hendricks,
418,,CWS,SP,Marti­n Pérez,
,"TIER 9 BATS: QUESTIONS, INJURIES + PLATOONS",,,,
419,,NYM,3B,Brett Baty,
420,,CWS,3B/OF,Miguel Vargas,
421,,NYY,1B,Ben Rice,
422,,CIN,OF,Austin Hays,
423,,AZ,OF,Pavin Smith,
424,,STL,OF,Victor Scott II,
425,,SD,OF,Tirso Ornelas,
426,,BAL,OF,Heston Kjerstad,
427,,CIN,2B,Gavin Lux,
428,,CLE,OF,Jhonkensy Noel,
429,,STL,2B,Nolan Gorman,
430,,NYM,OF,Jesse Winker,
431,,BOS,2B/SS,David Hamilton,
432,,SEA,SS/OF,Dylan Moore,
433,,MIN,OF,Max Kepler,
434,,CLE,1B,Kyle Manzardo,
435,,KC,2B,Michael Massey,
436,,CIN,3B,Noelvi Marte,
437,,PIT,2B/SS/3B,Isiah Kiner-Falefa,
438,,CWS,3B,Lenyn Sosa,
439,,MIN,3B,Jose Miranda,
440,,TB,2B/SS,José Caballero,
441,,CLE,SS,Brayan Rocchio,
442,,STL,OF,Lars Nootbaar,Sheehan
443,,MIA,2B,Otto Lopez,
444,,COL,DH,Kris Bryant,
445,,CWS,OF,Andrew Benintendi 🚑,
446,,NYM,OF,Starling Marte,
447,,DET,3B/OF,Matt Vierling 🚑,
448,,ATL,C,Sean Murphy 🚑,
,TIER 9 SP: 6th MAN / NEEDS OPENING,,,,
449,,TEX,SP,Jack Leiter,
450,,BAL,SP,Cade Povich,
451,,AZ,SP,Ryne Nelson,
452,,LAA,SP,Chase Silseth,
453,,ATL,SP,AJ Smith-Shawver,
454,,TB,SP,Joe Boyle,
455,,SF,SP,Hayden Birdsong,
456,,AZ,SP,Jordan Montgomery,
457,,CLE,SP,Slade Cecconi,
458,,DET,SP,Casey Mize,
459,,CIN,SP,Rhett Lowder,
460,,NYM,SP,Griffin Canning,
461,,SD,SP,Matt Waldron,
462,,BAL,SP,Trevor Rogers,
463,,LAA,SP,Jack Kochanowicz,
464,,AZ,SP,Yilber Diaz,
465,,CIN,SP,Graham Ashcraft,
466,,CWS,SP,Drew Thorpe,
467,,MIN,SP,Louie Varland,
468,,CLE,SP,Joey Cantillo,
469,,SEA,SP,Emerson Hancock,
470,,ATL,SP,Bryce Elder,
471,,NYY,SP ,JT Brubaker,
472,,CHC,SP,Javier Assad 🚑,
,TIER 7 RP: PATH TO MIDSEASON SAVES,,,,
473,,DET,RP,Tommy Kahnle,
474,,ATL,RP,Pierce Johnson,
475,,NYM,RP,A.J. Minter,
476,,SEA,RP,Collin Snider,
477,,SFG,RP,Camilo Doval,
478,,HOU,RP,Bryan Abreu,
479,,TOR,RP,Chad Green,
480,,PHI,RP,José Alvarado,
481,,SDP,RP,Jason Adam,
482,,OAK,RP,José Leclerc,
483,,MIA,RP,Jesus Tinoco,
484,,CWS,RP,Fraser Ellard,
485,,TEX,RP,Robert Garcia,
486,,COL,RP,Tyler Kinley,
487,,SFG,RP,Tyler Rogers,
488,,PIT,RP,Colin Holderman,
489,,STL,RP,Ryan Fernandez,
490,,CIN,RP,Taylor Rogers,
491,,WSN,RP,Derek Law,
,TIER 10 BATS: IT'S UGLY OUT THERE,,,,
492,,CIN,OF,Jake Fraley,
493,,TEX,OF,Leody Tavares,
494,,TOR,OF,Joey Loperfido,
495,,STL,OF,Michael Siani,
496,,NYY,3B,Oswald Peraza,
497,,WSH,1B,Juan Yepez,
498,,KC,OF,Hunter Renfroe,
499,,SEA,SS,J.P. Crawford,
500,,HOU,OF,Ben Gamel,
501,,BOS,2B,Vaughn Grissom,
502,,AZ,OF,Randal Grichuk,
503,,DET,SS,Trey Sweeney,
504,,CWS,OF,Mike Tauchman,
505,,ATL,SS,Orlando Arcia,
506,,MIL,3B,Oliver Dunn,
507,,DET,3B,Jace Jung,
508,,SEA,2B,Jorge Polanco,
509,,BOS,OF,Masataka Yoshida,
510,,LAA,OF,Mickey Moniak,
511,,SF,OF,Mike Yastrzemski,
512,,COL,OF,Sam Hilliard,
513,,TB,SS,Taylor Walls,
514,,LAA,3B,Yoán Moncada,
515,,MIN,1B,Ty France,
516,,TOR,2B,Will Wagner,
517,,NYM,2B/OF,Jeff McNeil 🚑,
518,,CLE,OF,Chase DeLauter 🚑,
519,,NYY,3B,DJ LeMahieu 🚑,
520,,NYY,DH,Giancarlo Stanton 🚑,
521,,NYY,SP,Gerrit Cole 🚑,
